190645,190781,1.0020,0.9980,1.0032,0.9919,0.9945,0.9881,0.9965,0.9862
190782,191042,1.0079,1.0039,1.0063,0.9951,0.9996,0.9932,1.0010,0.9907
191043,193555,0.9989,0.9949,0.9998,0.9885,0.9968,0.9904,0.9987,0.9884
193556,194150,0.9974,0.9934,0.9954,0.9841,0.9969,0.9905,0.9988,0.9885
194151,194532,0.9980,0.9940,0.9965,0.9852,0.9986,0.9922,0.9994,0.9891
194533,195113,0.9983,0.9943,0.9984,0.9872,1.0006,0.9943,0.9999,0.9896
195114,195915,0.9984,0.9944,0.9977,0.9864,1.0010,0.9946,1.0004,0.9900
195916,198115,0.9975,0.9936,0.9965,0.9852,1.0020,0.9956,0.9992,0.9889
198116,199803,1.0010,0.9970,0.9999,0.9886,0.9963,0.9899,1.0044,0.9941
199804,200048,1.0021,0.9982,1.0008,0.9895,0.9965,0.9901,1.0060,0.9957
200049,200151,1.0035,0.9996,1.0017,0.9905,0.9992,0.9928,1.0101,0.9999
200152,200490,1.0013,0.9973,1.0003,0.9890,0.9991,0.9927,1.0073,0.9970
200491,200531,1.0035,0.9995,1.0017,0.9905,0.9995,0.9931,1.0106,1.0004
200532,201656,1.0017,0.9978,0.9999,0.9887,0.9978,0.9914,1.0069,0.9967
201657,202305,1.0026,0.9986,1.0003,0.9891,0.9987,0.9923,1.0121,1.0018
202305,203002,1.0037,0.9998,1.0010,0.9897,1.0003,0.9940,1.0144,1.0042
203003,203984,1.0062,1.0023,1.0022,0.9914,0.9998,0.9919,1.0128,1.0027
203985,205085,1.0050,1.0011,1.0045,0.9938,1.0007,0.9928,1.0114,1.0013
205086,205310,1.0062,1.0023,1.0046,0.9939,1.0063,0.9985,1.0213,1.0113
205311,206207,1.0056,1.0017,1.0034,0.9926,1.0020,0.9941,1.0162,1.0061
206208,206483,1.0060,1.0021,1.0036,0.9929,0.9997,0.9918,1.0186,1.0086
206484,206597,1.0062,1.0024,1.0033,0.9925,1.0047,0.9969,1.0177,1.0077
206598,206896,1.0061,1.0022,1.0021,0.9913,0.9984,0.9905,1.0173,1.0073
206897,207220,1.0063,1.0024,1.0033,0.9926,0.9988,0.9909,1.0185,1.0085
207221,208686,1.0064,1.0025,1.0036,0.9929,1.0031,0.9953,1.0195,1.0094
