Crate = 0-17
Card = 0-7 within the crate
Tower = 0-32 covers 4 x 8 covered by the card
EMAddr(0:8) = EMFGBit(0:0)+CompressedEMET(1:8)
HDAddr(0:8) = HDFGBit(0:0)+CompressedHDET(1:8) - note: HDFGBit(0:0) is not part of the hardware LUT address
LutOut(0:17)= LinearEMET(0:6)+HoEFGVetoBit(7:7)+LinearJetET(8:16)+ActivityBit(17:17)
Event	Crate	Card	Tower	EMAddr	HDAddr	LUTOut
0	0	0	0	0	0	0
0	0	0	1	0	0	0
0	0	0	2	0	0	0
0	0	0	3	0	0	0
0	0	0	4	0	0	0
0	0	0	5	0	0	0
0	0	0	6	0	0	0
0	0	0	7	0	0	0
0	0	0	8	0	0	0
0	0	0	9	0	0	0
0	0	0	a	0	0	0
0	0	0	b	0	0	0
0	0	0	c	0	0	0
0	0	0	d	0	0	0
0	0	0	e	0	0	0
0	0	0	f	0	0	0
0	0	0	10	0	0	0
0	0	0	11	0	0	0
0	0	0	12	0	0	0
0	0	0	13	0	0	0
0	0	0	14	0	0	0
0	0	0	15	0	0	0
0	0	0	16	0	0	0
0	0	0	17	0	0	0
0	0	0	18	0	0	0
0	0	0	19	0	0	0
0	0	0	1a	0	0	0
0	0	0	1b	0	0	0
0	0	0	1c	0	0	0
0	0	0	1d	0	0	0
0	0	0	1e	0	0	0
0	0	0	1f	0	0	0
0	0	1	0	0	0	0
0	0	1	1	0	0	0
0	0	1	2	0	0	0
0	0	1	3	0	0	0
0	0	1	4	0	0	0
0	0	1	5	0	0	0
0	0	1	6	0	0	0
0	0	1	7	0	0	0
0	0	1	8	0	0	0
0	0	1	9	0	0	0
0	0	1	a	0	0	0
0	0	1	b	0	0	0
0	0	1	c	0	0	0
0	0	1	d	0	0	0
0	0	1	e	0	0	0
0	0	1	f	0	0	0
0	0	1	10	0	0	0
0	0	1	11	0	0	0
0	0	1	12	0	0	0
0	0	1	13	0	0	0
0	0	1	14	0	0	0
0	0	1	15	0	0	0
0	0	1	16	0	0	0
0	0	1	17	0	0	0
0	0	1	18	0	0	0
0	0	1	19	0	0	0
0	0	1	1a	0	0	0
0	0	1	1b	0	0	0
0	0	1	1c	0	0	0
0	0	1	1d	0	0	0
0	0	1	1e	0	0	0
0	0	1	1f	0	0	0
0	0	2	0	0	0	0
0	0	2	1	0	0	0
0	0	2	2	0	0	0
0	0	2	3	0	0	0
0	0	2	4	0	0	0
0	0	2	5	0	0	0
0	0	2	6	0	0	0
0	0	2	7	0	0	0
0	0	2	8	0	0	0
0	0	2	9	0	0	0
0	0	2	a	0	0	0
0	0	2	b	0	0	0
0	0	2	c	0	0	0
0	0	2	d	0	0	0
0	0	2	e	0	0	0
0	0	2	f	0	0	0
0	0	2	10	0	0	0
0	0	2	11	0	0	0
0	0	2	12	0	0	0
0	0	2	13	0	0	0
0	0	2	14	0	0	0
0	0	2	15	0	0	0
0	0	2	16	0	0	0
0	0	2	17	0	0	0
0	0	2	18	0	0	0
0	0	2	19	0	0	0
0	0	2	1a	0	0	0
0	0	2	1b	0	0	0
0	0	2	1c	0	0	0
0	0	2	1d	0	6	0
0	0	2	1e	0	0	0
0	0	2	1f	0	0	0
0	0	3	0	0	0	0
0	0	3	1	0	0	0
0	0	3	2	0	0	0
0	0	3	3	0	0	0
0	0	3	4	0	0	0
0	0	3	5	0	0	0
0	0	3	6	0	0	0
0	0	3	7	0	0	0
0	0	3	8	0	0	0
0	0	3	9	0	0	0
0	0	3	a	0	0	0
0	0	3	b	0	0	0
0	0	3	c	0	0	0
0	0	3	d	0	0	0
0	0	3	e	0	0	0
0	0	3	f	0	0	0
0	0	3	10	0	0	0
0	0	3	11	0	0	0
0	0	3	12	0	0	0
0	0	3	13	0	0	0
0	0	3	14	0	0	0
0	0	3	15	0	0	0
0	0	3	16	0	0	0
0	0	3	17	0	0	0
0	0	3	18	0	0	0
0	0	3	19	0	0	0
0	0	3	1a	0	0	0
0	0	3	1b	0	0	0
0	0	3	1c	0	0	0
0	0	3	1d	0	0	0
0	0	3	1e	0	0	0
0	0	3	1f	0	0	0
0	0	4	0	0	0	0
0	0	4	1	0	0	0
0	0	4	2	0	0	0
0	0	4	3	0	0	0
0	0	4	4	0	0	0
0	0	4	5	0	0	0
0	0	4	6	0	0	0
0	0	4	7	0	0	0
0	0	4	8	0	2	0
0	0	4	9	0	0	0
0	0	4	a	0	0	0
0	0	4	b	0	0	0
0	0	4	c	0	0	0
0	0	4	d	0	0	0
0	0	4	e	0	0	0
0	0	4	f	0	0	0
0	0	4	10	0	0	0
0	0	4	11	0	0	0
0	0	4	12	0	0	0
0	0	4	13	0	0	0
0	0	4	14	0	0	0
0	0	4	15	0	0	0
0	0	4	16	0	0	0
0	0	4	17	0	0	0
0	0	4	18	0	0	0
0	0	4	19	0	0	0
0	0	4	1a	0	0	0
0	0	4	1b	0	0	0
0	0	4	1c	0	0	0
0	0	4	1d	0	0	0
0	0	4	1e	0	0	0
0	0	4	1f	0	0	0
0	0	5	0	0	0	0
0	0	5	1	0	0	0
0	0	5	2	0	0	0
0	0	5	3	0	0	0
0	0	5	4	0	0	0
0	0	5	5	0	0	0
0	0	5	6	0	0	0
0	0	5	7	0	0	0
0	0	5	8	0	0	0
0	0	5	9	0	0	0
0	0	5	a	0	0	0
0	0	5	b	0	3	0
0	0	5	c	0	0	0
0	0	5	d	0	1	0
0	0	5	e	0	2	0
0	0	5	f	0	2	0
0	0	5	10	0	0	0
0	0	5	11	0	0	0
0	0	5	12	0	0	0
0	0	5	13	0	0	0
0	0	5	14	0	0	0
0	0	5	15	0	0	0
0	0	5	16	0	0	0
0	0	5	17	0	0	0
0	0	5	18	0	0	0
0	0	5	19	0	0	0
