GR0T v1.0						
HB	HB	HE	HE	HF	HF	HB
-16	1	-29	16	-41	29	-16
-1	16	-16	29	-29	41	-16
1	1	1	1	1	1	1
72	72	72	72	72	72	72
1	1	1	1	1	1	1
2	2	3	3	2	2	2
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
1	1	0	1	0	0	0
2	2	0	2	0	0	0
3	3	0	3	0	0	0
4	4	0	4	0	0	0
5	5	0	5	0	0	0
6	6	0	6	0	0	0
7	7	0	7	0	0	0
8	8	0	8	0	0	0
9	9	0	9	0	0	0
10	10	0	10	0	0	0
11	11	0	11	0	0	0
12	12	0	12	0	0	0
13	13	0	13	0	0	0
14	14	0	14	0	0	0
15	15	0	15	0	0	0
16	16	0	16	0	0	0
17	17	0	17	0	0	0
18	18	0	18	0	0	0
19	19	0	19	0	0	0
20	20	0	20	0	0	0
21	21	0	21	0	0	0
22	22	0	22	0	0	0
23	23	0	23	0	0	0
24	24	0	24	0	0	0
25	25	0	25	0	0	0
26	26	0	26	0	0	0
27	27	0	27	0	0	0
28	28	0	28	0	0	0
29	29	0	29	0	0	0
30	30	0	30	0	0	0
31	31	0	31	0	0	0
32	32	0	32	0	0	0
33	33	0	33	0	0	0
34	34	0	34	0	0	0
35	35	0	35	0	0	0
36	36	0	36	0	0	0
37	37	0	37	0	0	0
38	38	0	38	0	0	0
39	39	0	39	0	0	0
40	40	0	40	0	0	0
41	41	0	41	0	0	0
42	42	0	42	0	0	0
43	43	0	43	0	0	0
44	44	0	44	0	0	0
45	45	0	45	0	0	0
46	46	0	46	0	0	0
47	47	0	47	0	0	0
48	48	0	48	0	0	0
49	49	0	49	0	0	0
50	50	0	50	0	0	0
51	51	0	51	0	0	0
52	52	0	52	0	0	0
53	53	0	53	0	0	0
54	54	0	54	0	0	0
55	55	0	55	0	0	0
56	56	0	56	0	0	0
57	57	0	57	0	0	0
58	58	0	58	0	0	0
59	59	0	59	0	0	0
60	60	0	60	0	0	0
61	61	0	61	0	0	0
62	62	0	62	0	0	0
63	63	0	63	0	0	0
64	64	0	64	0	0	0
65	65	0	65	0	0	0
66	66	0	66	0	0	0
67	67	0	67	0	0	0
68	68	0	68	0	0	0
69	69	0	69	0	0	0
70	70	0	70	0	0	0
71	71	0	71	0	0	0
72	72	0	72	0	0	0
73	73	0	73	0	0	0
74	74	0	74	0	0	0
75	75	0	75	0	0	0
76	76	0	76	0	0	0
77	77	0	77	0	0	0
78	78	0	78	0	0	0
79	79	0	79	0	0	0
80	80	0	80	0	0	0
81	81	0	81	0	0	0
82	82	0	82	0	0	0
83	83	0	83	0	0	0
84	84	0	84	0	0	0
85	85	0	85	0	0	0
86	86	0	86	0	0	0
87	87	0	87	0	0	0
88	88	0	88	0	0	0
89	89	0	89	0	0	0
90	90	0	90	0	0	0
91	91	0	91	0	0	0
92	92	0	92	0	0	0
93	93	0	93	0	0	0
94	94	0	94	0	0	0
95	95	0	95	0	0	0
96	96	0	96	0	0	0
97	97	0	97	0	0	0
98	98	0	98	0	0	0
99	99	0	99	0	0	0
100	100	0	100	0	0	0
101	101	0	101	0	0	0
102	102	0	102	0	0	0
103	103	0	103	0	0	0
104	104	0	104	0	0	0
105	105	0	105	0	0	0
106	106	0	106	0	0	0
107	107	0	107	0	0	0
108	108	0	108	0	0	0
109	109	0	109	0	0	0
110	110	0	110	0	0	0
111	111	0	111	0	0	0
112	112	0	112	0	0	0
113	113	0	113	0	0	0
114	114	0	114	0	0	0
115	115	0	115	0	0	0
116	116	0	116	0	0	0
117	117	0	117	0	0	0
118	118	0	118	0	0	0
119	119	0	119	0	0	0
120	120	0	120	0	0	0
121	121	0	121	0	0	0
122	122	0	122	0	0	0
123	123	0	123	0	0	0
124	124	0	124	0	0	0
